Code,Name,2014mean_income,2015mean_income,2016mean_income,2017mean_income,2018mean_income
20102,Creswick - Daylesford - Ballan,32662,37320,30066.0,35822,56790
20202,Heathcote - Castlemaine - Kyneton,30207,31110,36923.0,37380,45500
20302,Geelong,25386,35810,41424.0,30822,74237
20303,Surf Coast - Bellarine Peninsula,51815,40914,44567.0,42391,59128
20401,Upper Goulburn Valley,23872,29725,39375.0,42257,40385
20501,Baw Baw,23934,21321,29327.0,32243,48964
20503,Gippsland - South West,40257,31614,34263.0,35573,41629
20601,Brunswick - Coburg,27549,25827,30035.0,35160,40459
20602,Darebin - South,25277,43221,31038.0,36174,37888
20603,Essendon,44869,47197,42290.0,50858,50301
20604,Melbourne City,74103,121713,114529.0,106801,239642
20605,Port Phillip,69448,69209,115012.0,88654,99186
20701,Boroondara,57101,61269,95015.0,81051,81858
20803,Kingston,26900,28875,28881.0,39108,42713
20606,Stonnington - West,164884,256634,228315.0,216972,190869
20702,Manningham - West,31595,36497,37252.0,53654,51421
20703,Whitehorse - West,31035,30271,30724.0,38331,36964
20607,Yarra,47245,62163,109733.0,60573,61142
20801,Bayside,76679,71670,91247.0,112650,100944
20804,Stonnington - East,63880,55393,60708.0,130033,82095
20802,Glen Eira,45345,56874,59467.0,54880,78879
20901,Banyule,30057,58161,36426.0,48968,42497
20902,Darebin - North,29736,31426,30671.0,34667,40052
20903,Nillumbik - Kinglake,34320,45115,35306.0,52365,61339
20904,Whittlesea - Wallan,24593,27012,28685.0,37142,41917
21001,Keilor,25335,38483,39680.0,50203,51299
21002,Macedon Ranges,38666,30251,51733.0,49884,53515
21003,Moreland - North,30530,26483,27922.0,31168,37106
21004,Sunbury,17917,27209,,37606,45544
21005,Tullamarine - Broadmeadows,29499,51337,38400.0,61599,46746
21101,Knox,22178,25664,27484.0,32336,36843
21102,Manningham - East,62736,94880,116804.0,160522,89962
21103,Maroondah,21832,29543,24735.0,34728,33969
21104,Whitehorse - East,23749,22996,21976.0,32820,32995
21105,Yarra Ranges,26741,37343,37277.0,48788,47658
21201,Cardinia,29741,44673,76981.0,80174,83216
21202,Casey - North,27782,31728,41856.0,54142,83883
21203,Casey - South,31448,37454,40098.0,35931,50925
21204,Dandenong,37446,26375,34692.0,36274,39845
21205,Monash,27977,31961,31772.0,37072,38764
21301,Brimbank,27644,27296,35793.0,38250,45466
21302,Hobsons Bay,32099,29749,37744.0,44723,49239
21303,Maribyrnong,28909,25925,32365.0,36628,34387
21304,Melton - Bacchus Marsh,30865,27466,30784.0,37158,63779
21305,Wyndham,22501,32501,29239.0,31955,41396
21401,Frankston,24222,27429,29962.0,40165,48269
21402,Mornington Peninsula,46713,56605,68146.0,58927,117956
